Match Nr,Date,Team,Home/Away,Shots,Goals,Saves,PIM,FO,Offensie Zone Total,Match Nr,Team,Home/Away,Shots,Goals,Saves,PIM,FO,Offensie Zone Total,Overtime
1,2019-09-20,Karlskrona HK,H,21,1,29,12,30,47%,1,IF Björklöven,A,34,5,20,8,24,53%,0
2,2019-09-23,MODO Hockey,A,39,2,31,10,47,50%,2,IF Björklöven,H,34,3,37,8,37,50%,1
3,2019-09-25,Västerås IK,H,34,2,16,4,34,55%,3,IF Björklöven,A,19,3,32,6,24,45%,0
4,2019-09-27,Almtuna IS,A,15,2,22,12,25,46%,4,IF Björklöven,H,25,3,13,27,32,54%,0
5,2019-10-02,HC Vita Hästen,A,29,1,23,6,27,48%,5,IF Björklöven,H,25,2,28,4,29,52%,0
6,2019-10-04,Tingsryd AIF,H,31,0,34,4,30,50%,6,IF Björklöven,A,37,3,31,6,26,50%,0
7,2019-10-06,Kristianstads IK,H,30,2,35,16,11,44%,7,IF Björklöven,A,36,1,28,14,9,56%,0
8,2019-10-09,BIK Karlskoga,A,39,3,36,16,30,44%,8,IF Björklöven,H,42,6,36,12,42,56%,0
9,2019-10-11,AIK,H,16,0,23,8,21,51%,9,IF Björklöven,A,25,2,16,8,31,49%,0
10,2019-10-15,Västerviks IK,A,26,4,21,10,41,49%,10,IF Björklöven,H,24,3,22,10,20,51%,1
11,2019-10-18,Södertälje SK,H,16,1,35,14,27,46%,11,IF Björklöven,A,41,6,15,6,36,54%,0
12,2019-10-20,Almtuna IS,H,21,1,29,0,22,47%,12,IF Björklöven,A,29,0,20,2,21,53%,0
13,2019-10-23,Timrå IK,A,29,1,25,6,26,48%,13,IF Björklöven,H,28,3,28,8,29,52%,0
14,2019-10-25,Mora IK,H,22,1,30,4,21,50%,14,IF Björklöven,A,36,6,21,2,32,50%,0
15,2019-10-27,Karlskrona HK,A,19,2,36,8,24,40%,15,IF Björklöven,H,41,5,17,4,29,60%,0
16,2019-11-01,Västerås IK,A,23,2,32,10,25,44%,16,IF Björklöven,H,32,0,21,33,24,56%,0
17,2019-11-09,MODO Hockey,H,19,3,35,12,31,49%,17,IF Björklöven,A,36,1,16,14,25,51%,0
